Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_PP48_000107-2_p08
453.09573540914,20,23,10,0,0,0,1,0,CHOP,Lignin,454.10301187602,-0.282770025255562,10,4550127
453.103851206897,20,22,12,0,0,0,0,0,CHO,Lignin,454.111127673777,-0.00330839054376844,7,44220912
453.119107342046,24,22,9,0,0,0,0,0,CHO,Lignin,454.126383808926,-0.00331146938112795,6,2960885
453.132267798843,21,27,9,0,0,0,1,0,CHOP,Lignin,454.139544265723,-0.606179589557668,9,9382392
453.140236716652,21,26,11,0,0,0,0,0,CHO,Lignin,454.147513183532,-0.00331573314120336,5,41394684
453.155492851801,25,26,8,0,0,0,0,0,CHO,Lignin,454.162769318681,-0.00331881148524914,6,2313726
453.168676010275,22,31,8,0,0,0,1,0,CHOP,Lignin,454.175952477155,-0.656122926022817,8,9132545
453.176622226407,22,30,10,0,0,0,0,0,CHO,Lignin,454.183898693287,-0.00332307456218023,4,24453636
453.189585014771,19,35,10,0,0,0,1,0,CHOP,Protein,454.196861481651,-0.170910804569986,8,2341894.8
453.20492751799,23,35,7,0,0,0,1,0,CHOP,Protein,454.21220398487,-0.361057383753137,5,4926986.5
453.213007736162,23,34,9,0,0,0,0,0,CHO,Lignin,454.220284203042,-0.0033304140561115,3,6855180.5
453.249458739622,24,38,8,0,0,0,0,0,CHO,Protein,454.256735206502,-0.147515484310882,4,1678869.6
454.034543416383,17,14,14,0,1,0,0,0,CHO,ConHC,455.041819883263,-0.241486953530627,8,1970391.1
454.05010411788,21,14,11,0,1,0,0,0,CHO,ConHC,455.05738058476,-0.910774064631766,13,1621466.9
454.06277987472,18,19,11,0,1,0,1,0,CHOP,Lignin,455.0700563416,-0.447273550353762,10,3069150
454.070783721181,18,18,13,0,1,0,0,0,CHO,Tannin,455.078060188061,0.0776017170005978,7,6490848
454.099143177158,19,23,10,0,1,0,1,0,CHOP,Lignin,455.106419644038,-0.398449528908525,9,5076711
454.107214022334,19,22,12,0,1,0,0,0,CHO,Lignin,455.114490489214,-0.0208299553412902,7,9110249
454.135518479367,20,27,9,0,1,0,1,0,CHOP,Lignin,455.142794946247,-0.375998145140885,6,4608751.5
454.143566324984,20,26,11,0,1,0,0,0,CHO,Lignin,455.150842791864,0.0521225797561063,6,8923890
454.171839782611,21,31,8,0,1,0,1,0,CHOP,Lignin,455.179116249491,-0.234918050595406,4,4053752.5
454.179991626233,21,30,10,0,1,0,0,0,CHO,Lignin,455.187268093113,-0.0353070347673211,5,5226234.5
454.208133086391,22,35,7,0,1,0,1,0,CHOP,Protein,455.215409553271,-0.0323523127987539,3,1888769.3
454.216585924239,22,34,9,0,1,0,0,0,CHO,Lignin,455.223862391119,-0.493961406409819,4,1777411.4
454.962534062091,22,6,6,2,0,0,2,0,CHONP,ConHC,455.969810528971,0.654487692563889,7,2655670
455.025601068057,21,12,12,0,0,0,0,0,CHO,ConHC,456.032877534937,-0.00369389359612759,7,4155332.8
455.028888238612,18,16,12,0,0,1,0,0,CHOS,Tannin,456.036164705492,0.179729843478303,12,1906629.6
455.03872066027,18,17,12,0,0,0,1,0,CHOP,Tannin,456.04599712715,-0.514435498884652,13,3272136
455.046730442656,18,16,14,0,0,0,0,0,CHO,Tannin,456.054006909536,-0.00369810511187653,9,16122826
455.061986577799,22,16,11,0,0,0,0,0,CHO,ConHC,456.069263044679,-0.00370114520833851,6,8420301
455.06525241785,19,20,11,0,0,1,0,0,CHOS,Lignin,456.07252888473,0.226477947987769,11,2499534.3
455.07504393278,19,21,11,0,0,0,1,0,CHOP,Lignin,456.08232039966,-0.377941552067567,12,5417936.5
455.083115952397,19,20,13,0,0,0,0,0,CHO,Tannin,456.090392419277,-0.0037053556782631,8,38355924
455.09837208754,23,20,10,0,0,0,0,0,CHO,Lignin,456.10564855442,-0.00370839553893708,5,7097302
455.101846165227,20,24,10,0,0,1,0,0,CHOS,Lignin,456.109122632107,-0.230099994480149,8,2534871
455.111444772014,20,25,10,0,0,0,1,0,CHOP,Lignin,456.118721238894,-0.411527493578592,10,10714073
455.119501462138,20,24,12,0,0,0,0,0,CHO,Lignin,456.126777929018,-0.00371260446477566,6,40690652
