Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
124.526028,1117459.9,0,0,0,0,0,0,0,0,0,0,124.525973071446,124.525973071446,125.533249538326,7.85,767462.6,0.00539409384660239,105
124.918834,1032405.8,0,0,0,0,0,0,0,0,0,0,124.918777710332,124.918777710332,125.926054177212,7.06,871491,0.00498352895972072,106
125.393145,1182778.6,0,0,0,0,0,0,0,0,0,0,125.393087059909,125.393087059909,126.400363526789,8.43,1080234.7,0.00570939392827698,107
126.482178,1089299.5,0,0,0,0,0,0,0,0,0,0,126.482116242186,126.482116242186,127.489392709066,7.55,1008458.9,0.00525816070004576,108
127.54176,1054466.9,0,0,0,0,0,0,0,0,0,0,127.541694490217,127.541694490217,128.548970957097,7.23,797345.9,0.00509002015798142,109
127.730833,1072176.5,0,0,0,0,0,0,0,0,0,0,127.730766816856,127.730766816856,128.738043283736,7.39,830274.9,0.00517550621827387,110
127.88078,1044117.2,0,0,0,0,0,0,0,0,0,0,127.880713282013,127.880713282013,128.887989748893,7.13,817331,0.00504006109181343,111
127.980532,1103598,0,0,0,0,0,0,0,0,0,0,127.980464925805,127.980464925805,128.987741392685,7.66,903182.9,0.00532718102987204,112
128.630308,1153396.9,0,0,0,0,0,0,0,0,0,0,128.630238597625,128.630238597625,129.637515064505,8.12,553948.9,0.00556756544103308,113
129.505645,1086597.1,0,0,0,0,0,0,0,0,0,0,129.505572439798,129.505572439798,130.512848906678,7.49,629381.9,0.00524511593735579,114
129.837249,1076260.6,0,0,0,0,0,0,0,0,0,0,129.837175237132,129.837175237132,130.844451704012,7.39,634574.9,0.00519522058894516,115
129.866327,1076765.1,0,0,0,0,0,0,0,0,0,0,129.866253131505,129.866253131505,130.873529598385,7.4,811848.8,0.0051976558623233,116
130.079879,1097436,0,0,0,0,0,0,0,0,0,0,130.079804354947,130.079804354947,131.087080821827,7.59,717755.9,0.00529743642222862,117
130.389008,1037784.9,0,0,0,0,0,0,0,0,0,0,130.388932228278,130.388932228278,131.396208695158,7.04,707147.7,0.00500949442855791,118
130.517633,1042608.2,0,0,0,0,0,0,0,0,0,0,130.517556758595,130.517556758595,131.524833225475,7.08,691986.9,0.00503277699364174,119
130.535668,1051845.8,0,0,0,0,0,0,0,0,0,0,130.535591692698,130.535591692698,131.542868159578,7.17,668327,0.0050773678387516,120
130.57477,1105889.8,0,0,0,0,0,0,0,0,0,0,130.574693549789,130.574693549789,131.581970016669,7.66,637060.7,0.00533824378413968,121
131.448528,1065398.8,0,0,0,0,0,0,0,0,0,0,131.448448343892,131.448448343892,132.455724810772,7.27,624584.5,0.00514278956341751,122
131.551245,1176120.4,0,0,0,0,0,0,0,0,0,0,131.551164965447,131.551164965447,132.558441432327,8.29,790525.2,0.0056772541122089,123
131.801451,1109659.1,0,0,0,0,0,0,0,0,0,0,131.801370042229,131.801370042229,132.808646509109,7.68,736039,0.00535643858283984,124
131.871535,1036322.5,0,0,0,0,0,0,0,0,0,0,131.871453783282,131.871453783282,132.878730250162,7,662145.6,0.00500243527337814,125
132.782148,1095099.8,0,0,0,0,0,0,0,0,0,0,132.782063404943,132.782063404943,133.789339871823,7.52,868188.2,0.00528615934459529,126
132.888178,1038081.3,0,0,0,0,0,0,0,0,0,0,132.888093009917,132.888093009917,133.895369476797,7,725187.7,0.00501092518183696,127
133.749684,1046794.3,0,0,0,0,0,0,0,0,0,0,133.749595787554,133.749595787554,134.756872254434,7.08,719392.5,0.00505298372880178,128
134.301592,1155066.3,0,0,0,0,0,0,0,0,0,0,134.301501711361,134.301501711361,135.308778178241,8.05,610636.3,0.00557562380649883,129
