Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
124.090214,1030524.3,0,0,0,0,0,0,0,0,0,0,124.089928029092,124.089965259766,125.097241726646,7.07,870339,0.00647214152002017,74
124.091597,1178316.5,0,0,0,0,0,0,0,0,0,0,124.09131102594,124.09131102594,125.09858749282,8.44,781634.9,0.00740034091711845,75
124.110481,1032271.3,0,0,0,0,0,0,0,0,0,0,124.110194982902,124.110194982902,125.117471449782,7.08,764864.8,0.00648311344104666,76
124.158005,1118278.6,0,0,0,0,0,0,0,0,0,0,124.157718874588,124.157718874588,125.164995341468,7.88,873948.7,0.00702327675146528,77
124.177407,1064145.6,0,0,0,0,0,0,0,0,0,0,124.177120830368,124.177120830368,125.184397297248,7.38,655306.1,0.00668329793009905,78
124.18031,1040650.1,0,0,0,0,0,0,0,0,0,0,124.180023823751,124.180023823751,125.187300290631,7.16,909732,0.00653573595501158,79
124.182369,1035666.4,0,0,0,0,0,0,0,0,0,0,124.182082819058,124.182082819058,125.189359285938,7.11,656370.8,0.0065044361480169,80
124.190101,1036187.6,0,0,0,0,0,0,0,0,0,0,124.189814801435,124.189814801435,125.197091268315,7.12,709158.9,0.00650770951106156,81
124.203675,1257853.8,0,0,0,0,0,0,0,0,0,0,124.203388770497,124.203388770497,125.210665237377,9.18,816940.8,0.00789986980908179,82
124.212888,1053183.1,0,0,0,0,0,0,0,0,0,0,124.212601749499,124.212601749499,125.219878216379,7.28,798841.6,0.00661444865462518,83
124.218162,1146032,0,0,0,0,0,0,0,0,0,0,124.217875737478,124.217875737478,125.225152204358,8.14,778604.3,0.00719758019337511,84
124.220103,1172784.3,0,0,0,0,0,0,0,0,0,0,124.219816733054,124.219816733054,125.227093199934,8.39,919579.8,0.00736559629118672,85
124.234072,1044578.4,0,0,0,0,0,0,0,0,0,0,124.233785701215,124.233785701215,125.241062168095,7.2,658148.1,0.00656040739025391,86
124.242283,1087947.8,0,0,0,0,0,0,0,0,0,0,124.2419966825,124.2419966825,125.24927314938,7.6,698560.7,0.00683278611479089,87
124.257561,1068822.1,0,0,0,0,0,0,0,0,0,0,124.257274647677,124.257274647677,125.264551114557,7.42,958505.1,0.00671266838727156,88
124.259013,1075974.4,0,0,0,0,0,0,0,0,0,0,124.258726644368,124.258726644368,125.266003111248,7.49,845463.7,0.00675758794694971,89
124.266256,1202743.5,0,0,0,0,0,0,0,0,0,0,124.265969627859,124.265969627859,125.273246094739,8.67,695589.7,0.00755375311798507,90
124.283284,1046786.1,0,0,0,0,0,0,0,0,0,0,124.282997589046,124.282997589046,125.290274055926,7.22,694779.8,0.00657427270797009,91
