molecular formula,Altamaha_PP48_000107-4_p08
C16H34O3S,2828441.0
C13H9O8N,1843649.1
C(13)13H10O8,1870532.0
C14H13O7N,5960654.5
C(13)14H14O7,4179921.3
C(13)11H19O7P,1912278.1
C15H17O6N,3707867.8
C(13)15H18O6,4109278.8
C(13)16H22O5,1793003.9
C13H8O9,3337512.5
C10H13O9P,1845293.3
C14H12O6S,1501487.4
C21H8O3,1827635.8
C14H12O8,26166582.0
C11H16O8S,2130743.0
C13H12O7N2,2362170.0
C11H17O8P,6504762.5
C14H18O2N2P2,3905857.0
C15H16O7,41448772.0
C14H16O6N2,3879239.3
C12H21O7P,8801608.0
C15H22ON2P2,2785102.5
C16H20O6,33576272.0
C13H25O6P,3504981.3
C17H24O5,9516382.0
C14H28O5S,1387102.9
C15H32O4S,8668524.0
C15H33O4P,2698095.8
C13H11O8N,3440801.3
C(13)13H12O8,3874980.3
C14H15O7N,6102702.5
C(13)14H16O7,6294193.5
C(13)11H21O7P,1416118.1
C15H19O6N,2513083.8
C(13)15H20O6,5165758.5
C(13)16H24O5,1609931.9
C13H10O7S,1626881.6
C13H10O9,10567688.0
C14H14O6S,2033935.0
C14H15O6P,1306386.5
C21H10O3,1964051.4
C14H14O8,40343572.0
C13H14O7N2,2856473.5
C11H19O8P,3061786.3
C14H20O2N2P2,2454048.8
C15H18O7,62289956.0
C14H18O6N2,1972262.9
C12H23O7P,2956839.5
C16H22O6,26511408.0
C17H26O5,4959293.5
C14H30O5S,7001150.5
C(13)12H10O9,1379446.1
C(13)13H15O6P,4323712.5
C(13)13H14O8,5403011.5
C14H17O7N,5376397.5
C(13)14H18O7,8817041.0
C15H21O6N,1749658.9
C(13)15H22O6,4663710.0
C13H12O7S,2479328.3
C13H13O7P,1489507.9
C13H12O9,23808742.0
C17H12O6,2005228.4
C14H16O6S,2224365.5
C14H17O6P,2181873.0
C14H16O8,66058996.0
C13H16O7N2,2313464.3
C11H21O8P,1379832.9
C18H16O5,1693433.6
C15H20O5S,2994426.8
C15H21O5P,1631742.4
