Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_SW48_000107-3_p08
319.113176661801,16,22,1,2,0,0,2,0,CHONP,UnsatHC,320.120453128681,0.884760770599244,2,6308990.5
319.11871051337,17,20,6,0,0,0,0,0,CHO,Lignin,320.12598698025,0.00435562950010236,2,15645824
319.131790367187,14,25,6,0,0,0,1,0,CHOP,Protein,320.139066834067,-0.599080172949729,2,12459141
319.155096015708,18,24,5,0,0,0,0,0,CHO,Lignin,320.162372482588,0.00436750782579996,2,13466765
319.168108014293,15,29,5,0,0,0,1,0,CHOP,Protein,320.175384481173,-0.387068397165585,2,1571473.1
319.240925006383,17,37,3,0,0,0,1,0,CHOP,Lipid,320.248201473263,-0.530554932342739,1,94403752
320.041168103992,14,11,8,1,0,0,0,0,CHON,ConHC,321.048444570872,0.0677911027966943,3,3136444.3
320.049325119099,14,12,8,0,1,0,0,0,CHO,Lignin,321.056601585979,-0.0915295912328221,2,2416063
320.07763817154,15,15,7,1,0,0,0,0,CHON,Lignin,321.08491463842,-0.195577609361771,3,3922376.8
320.085678186432,15,16,7,0,1,0,0,0,CHO,Lignin,321.092954653312,0.00950748974765723,1,3293643.5
320.098746210638,12,21,7,0,1,0,1,0,CHOP,Protein,321.106022677518,-0.555271172282956,2,2534864
320.11403123895,16,19,6,1,0,0,0,0,CHON,Lignin,321.12130770583,-0.219101406892257,2,2407381.3
320.122154253997,16,20,6,0,1,0,0,0,CHO,Lignin,321.129430720877,-0.272502202562868,1,2675672
320.13499327778,13,25,6,0,1,0,1,0,CHOP,Protein,321.14226974466,-0.124124925256106,1,1825756.4
320.158423321184,17,24,5,0,1,0,0,0,CHO,Lignin,321.165699788064,0.0900800937525534,1,2661348.5
320.24427048023,16,37,3,0,1,0,1,0,CHOP,Lipid,321.25154694711,-0.499749530704806,2,16047618
320.742610886547,0,0,0,0,0,0,0,0,,None,321.749887353427,0,0,5113517.5
320.922799868034,0,0,0,0,0,0,0,0,,None,321.930076334914,0,1,1912556
321.025203857566,14,10,9,0,0,0,0,0,CHO,ConHC,322.032480324446,0.0049543271190659,4,11017999
321.038254918495,11,15,9,0,0,0,1,0,CHOP,Tannin,322.045531385375,-0.505502977782511,3,4343572
321.056102958718,14,16,3,2,0,0,2,0,CHONP,Lignin,322.063379425598,0.732727521814755,3,3066138
321.059330253681,19,14,3,0,0,1,0,0,CHOS,ConHC,322.066606720561,-0.750512024499136,3,1817371.3
321.061589360155,15,14,8,0,0,0,0,0,CHO,Lignin,322.068865827035,0.0049652886226099,3,29237020
321.064932773892,12,18,8,0,0,1,0,0,CHOS,AminoSugar,322.072209240772,0.0900538050194078,2,2286365.3
321.07277974493,14,14,7,2,0,0,0,0,CHON,Lignin,322.08005621181,0.138483239876666,2,2747679.8
321.074620972777,12,19,8,0,0,0,1,0,CHOP,AminoSugar,322.081897439657,-0.445051267266469,4,10207009
321.092421175497,23,14,2,0,0,0,0,0,CHO,ConHC,322.099697642377,-0.987112932625781,3,5457702.5
321.097974862749,16,18,7,0,0,0,0,0,CHO,Lignin,322.105251329629,0.0049762331787742,3,32456488
321.109269397936,15,18,6,2,0,0,0,0,CHON,Lignin,322.116545864816,-0.184852397431187,2,2458412.5
321.111044324891,13,23,7,0,0,0,1,0,CHOP,Protein,322.118320791771,-0.562491355196768,2,10006317
321.128755596005,24,18,1,0,0,0,0,0,CHO,ConHC,322.136032062885,-0.828417061679969,2,4015923.3
321.134360365348,17,22,6,0,0,0,0,0,CHO,Lignin,322.141636832228,0.00498716026393711,2,22912822
321.147452457552,14,27,6,0,0,0,1,0,CHOP,Protein,322.154728924432,-0.632662239940127,2,6359865.5
321.170745867952,18,26,5,0,0,0,0,0,CHO,Lignin,322.178022334832,0.0049980702368876,2,6147906
321.183879866618,15,31,5,0,0,0,1,0,CHOP,Protein,322.191156333498,-0.762646316080326,2,1548358.3
321.21048586392,16,34,4,0,0,1,0,0,CHOS,Lipid,322.2177623308,0.0556735298264938,1,2687823.5
321.23801686113,0,0,0,0,0,0,0,0,,None,322.24529332801,0,0,30457690
322.02857384671,13,10,9,0,1,0,0,0,CHO,ConHC,323.03585031359,-0.0419640432840499,3,2364011.8
322.041512927128,10,15,9,0,1,0,1,0,CHOP,Tannin,323.048789394008,-0.204197662489348,2,1358192.4
322.056859022505,14,13,8,1,0,0,0,0,CHON,Lignin,323.064135489385,-0.0590906986012716,3,4635765.5
322.06494807278,14,14,8,0,1,0,0,0,CHO,Lignin,323.07222453966,-0.00704381264988744,1,4690040.5
322.078071154343,11,19,8,0,1,0,1,0,CHOP,AminoSugar,323.085347621223,-0.73877297286993,1,1906813.1
322.093261248753,15,17,7,1,0,0,0,0,CHON,Lignin,323.100537715633,-0.110832476771586,3,4698242.5
322.101340298967,15,18,7,0,1,0,0,0,CHO,Lignin,323.108616765847,-0.0278406273087589,1,5592197
322.114311379586,12,23,7,0,1,0,1,0,CHOP,Protein,323.121587846466,-0.289072812146352,1,2143881.8
322.129554474328,16,21,6,1,0,0,0,0,CHON,Lignin,323.136830941208,0.174757833059269,1,1876879
322.137773525413,16,22,6,0,1,0,0,0,CHO,Lignin,323.145049992293,-0.175511562230744,1,4136082
322.174248752124,17,26,5,0,1,0,0,0,CHO,Lignin,323.181525219004,-0.453107906206847,2,1832606.6
322.215446008191,15,34,4,1,0,0,1,0,CHONP,Lipid,323.222722475071,-0.548785895656145,1,1356973
322.241347169187,0,0,0,0,0,0,0,0,,None,323.248623636067,0,0,6331574
322.251813234242,0,0,0,0,0,0,0,0,,None,323.259089701122,0,0,1534393.8
322.739643245753,0,0,0,0,0,0,0,0,,None,323.746919712633,0,0,4535652.5
323.004468220466,13,8,10,0,0,0,0,0,CHO,ConHC,324.011744687346,0.00552589248222728,4,1847233.3
323.023090343641,14,12,7,0,0,1,0,0,CHOS,Lignin,324.030366810521,0.0204282667867534,2,1791431.8
323.03537297804,13,14,4,2,0,0,2,0,CHONP,Lignin,324.04264944492,0.711397961359577,3,1617612.1
323.040853723311,14,12,9,0,0,0,0,0,CHO,Lignin,324.048130190191,0.00553593383201016,3,26128846
323.053880816839,11,17,9,0,0,0,1,0,CHOP,Carb,324.061157283719,-0.427786904735542,3,3340242.5
323.056166780386,18,12,6,0,0,0,0,0,CHO,ConHC,324.063443247266,-0.170119360571473,3,1372115.4
323.059472281675,15,16,6,0,0,1,0,0,CHOS,Lignin,324.066748748555,0.0314368728011058,2,1879508.5
323.069230857147,15,17,6,0,0,0,1,0,CHOP,Lignin,324.076507324027,-0.717533426512163,2,1768408
323.071770705582,14,18,3,2,0,0,2,0,CHONP,Lignin,324.079047172462,0.673607379958269,3,3015129
323.077239226161,15,16,8,0,0,0,0,0,CHO,Lignin,324.084515693041,0.0055459585445295,3,49381852
323.088478528119,14,16,7,2,0,0,0,0,CHON,Lignin,324.095754994999,-0.012700873132386,3,3291102.8
323.090307251834,12,21,8,0,0,0,1,0,CHOP,AminoSugar,324.097583718714,-0.554023921578655,5,6185439.5
323.105574945181,16,21,5,0,0,0,1,0,CHOP,Lignin,324.112851412061,-0.589663324212978,2,1720036.8
323.108138557869,15,22,2,2,0,0,2,0,CHONP,Lignin,324.115415024749,0.728000088785804,2,3952101.8
323.113624729015,16,20,7,0,0,0,0,0,CHO,Lignin,324.120901195895,0.00555596662538835,3,53608936
323.12482111401,15,20,6,2,0,0,0,0,CHON,Lignin,324.13209758089,0.119716961725093,1,1981419.5
323.12668101515,13,25,7,0,0,0,1,0,CHOP,Protein,324.13395748203,-0.517732951681218,2,5315052
323.144391551481,24,20,1,0,0,0,0,0,CHO,UnsatHC,324.151668018361,-0.779740737597287,2,1771506.4
323.150010231874,17,24,6,0,0,0,0,0,CHO,Lignin,324.157286698754,0.00556595825554479,2,18665972
323.163158574819,14,29,6,0,0,0,1,0,CHOP,Protein,324.170435041699,-0.8016406537218,2,4574713
323.186395734738,18,28,5,0,0,0,0,0,CHO,Lipid,324.193672201618,0.00557593308986208,2,3433985.3
323.199449733506,15,33,5,0,0,0,1,0,CHOP,Protein,324.206726200386,-0.510540259445786,2,1557509.8
324.036113777041,13,11,9,1,0,0,0,0,CHON,Tannin,325.043390243921,-0.0285707124965277,3,2112301
