molecular formula,Altamaha_SW48_000107-2_p08
C17H12O6,1924560.8
C14H16O6S,1696465.9
C14H17O6P,1611477.5
C14H16O8,50353368.0
C13H16O7N2,1777116.8
C11H21O8P,1337309.3
C18H16O5,1370590.1
C15H20O5S,2631903.5
C22H16O2,1461476.0
C15H20O7,44782824.0
C16H24O6,9278708.0
C17H28O3S,66942204.0
C17H28O5,1602049.1
C(13)12H12O9,2631232.8
C(13)13H17O6P,4175435.5
C(13)13H16O8,6450766.5
C14H19O7N,2250329.0
C(13)14H20O7,6821468.0
C(13)15H24O6,1662825.6
C(13)16H28O3S,10163825.0
C12H10O8S,1775527.6
C12H11O8P,1784747.3
C12H10O10,4361134.0
C16H10O7,2222004.0
C13H14O7S,2607541.3
C13H15O7P,2253752.8
C13H14O9,36116412.0
C17H14O6,2424769.5
C14H18O6S,2256322.8
C14H19O6P,4308934.5
C14H18O8,50313160.0
C13H18O7N2,1346893.6
C18H18O5,2118607.3
C15H23O5P,2136532.3
C15H22O7,22730712.0
C16H26O6,2743780.8
C18H34O4,1612544.3
C(13)12H15O7P,2468146.3
C(13)12H14O9,5077301.5
C(13)13H19O6P,2912064.0
C(13)13H18O8,7375171.0
C(13)14H23O5P,1781453.8
C(13)14H22O7,3422544.8
C17H34O2NP,1607284.0
C15H8O8,1362590.4
C12H12O8S,2673311.8
C12H13O8P,2459299.3
C12H12O10,13300390.0
C16H12O7,4574892.0
C13H16O7S,2956973.5
C13H17O7P,5910193.0
C13H16O9,39893684.0
C24H12O,1898167.8
C17H16O6,5331642.0
C14H20O6S,1413307.1
C14H21O6P,11393727.0
C14H20O8,26843842.0
C18H20O5,3255495.8
C15H24O5S,1448649.0
C15H25O5P,2113996.8
C15H24O7,7189200.0
C16H28O6,1455581.6
C15H11O7N,2251046.5
C(13)12H16O7S,1403434.9
C(13)12H17O7P,1989422.4
C(13)12H16O9,4810801.5
C16H15O6N,1990708.3
C(13)16H16O6,1413431.4
C(13)13H21O6P,3383868.3
C(13)13H20O8,3231295.3
C(13)14H24O7,1438541.3
C17H36O2NP,17472624.0
C11H11O9P,2200725.3
C15H10O8,7224734.0
C12H14O8S,2856863.5
C12H15O8P,5826979.0
C12H14O10,14667174.0
C15H16O2N2P2,1789866.0
C16H14O7,11824556.0
C13H18O7S,2591149.5
C15H14O6N2,1613744.5
C13H19O7P,13036977.0
C13H18O9,17169844.0
C16H20ON2P2,4149688.0
C17H18O6,8959418.0
C14H22O6S,1656507.4
C14H23O6P,15400383.0
C14H22O8,7272898.0
C18H22O5,5024200.0
C15H27O5P,2022861.0
C15H26O7,2532816.3
C17H35O3P,4028905.0
C14H9O8N,1645084.3
C(13)14H10O8,1566751.4
C(13)11H14O10,2605351.5
C15H13O7N,2961706.3
C(13)15H14O7,2126637.3
C(13)12H19O7P,2418994.5
C(13)12H18O9,2256693.5
C16H17O6N,1772600.3
C(13)16H18O6,2291003.3
C(13)13H23O6P,3509056.5
C9H9O7N2SP,1736844.4
C14H8O9,3296408.0
C11H13O9P,2744989.0
C22H8O3,1709475.9
C15H12O8,18084006.0
C12H16O8S,2886311.3
C12H17O8P,9769131.0
C12H16O10,4998318.0
C15H18O2N2P2,3990706.0
C16H16O7,19140788.0
C13H20O7S,2152117.5
C15H16O6N2,2241720.5
C13H21O7P,16011449.0
C13H20O9,3239100.3
C24H16O,5200064.0
C17H20O6,14557378.0
C14H25O6P,11849927.0
C18H24O5,11890896.0
C15H29O5P,1653205.4
C17H37O3P,34087152.0
C14H11O8N,3168808.0
C(13)14H12O8,2793003.3
C(13)11H17O8P,1352752.4
C15H15O7N,3878454.3
C(13)15H16O7,2987577.5
C(13)12H21O7P,2307646.5
C16H19O6N,2051140.5
C(13)16H20O6,3022407.5
C(13)13H25O6P,1561164.6
C(13)17H24O5,2262613.8
C14H10O9,11709352.0
C11H14O9S,1330089.1
C11H15O9P,4350893.0
C14H16O3N2P2,3040180.0
C15H14O8,29111222.0
C12H18O8S,2210743.5
C14H14O7N2,2659770.5
C12H19O8P,9800635.0
C15H20O2N2P2,4573122.0
C16H18O7,30098372.0
C15H18O6N2,1831880.8
C13H23O7P,7896009.5
C16H24ON2P2,3257296.5
C17H22O6,19432402.0
C14H27O6P,5270487.5
C18H26O5,5250017.0
C(13)13H10O9,2019633.3
C14H13O8N,5547324.5
C(13)14H14O8,4752703.5
C(13)11H19O8P,1747524.6
C15H17O7N,4954442.5
C(13)15H18O7,5047630.0
C16H21O6N,1614681.0
C13H25O6NS,1403610.4
C(13)16H22O6,3813724.3
C13H8O10,2349234.0
C14H12O7S,1771193.3
C13H14O4N2P2,1657790.3
C14H12O9,29341376.0
C11H17O9P,3665093.5
C14H18O3N2P2,3302092.5
C15H16O8,52020944.0
C14H16O7N2,2665171.0
C12H21O8P,5374676.0
C23H16O2,2177243.0
C16H20O7,49530588.0
C13H25O7P,4029154.3
C24H20O,2354409.3
C17H24O6,16848620.0
C14H29O6P,6063856.5
C18H28O5,2381049.8
C13H11O9N,2272843.0
C(13)13H12O9,3954254.0
C14H15O8N,6381657.5
C(13)14H16O8,6960220.5
C15H19O7N,4306024.0
C(13)15H20O7,6803563.0
C(13)16H24O6,3625593.5
C13H10O10,8178131.0
C17H10O7,2339289.3
C14H14O7S,3033050.5
C14H15O7P,2231774.5
C21H10O4,1457887.3
C14H14O9,48572896.0
C13H14O8N2,1718758.1
C11H19O9P,2170854.8
C18H14O6,2157287.8
C15H18O6S,1670633.0
C15H19O6P,2681837.0
C15H18O8,72763888.0
C14H18O7N2,1973236.6
C12H23O8P,2484725.3
C19H18O5,1363958.3
C16H22O5S,1867255.5
C23H18O2,1616380.5
C16H22O7,38922752.0
C24H22O,2293259.0
C17H26O6,7300621.0
C18H30O3S,60836372.0
C18H30O5,1651739.8
C(13)13H15O7P,4578160.5
C(13)13H14O9,6174580.0
C(13)14H19O6P,5462911.0
C(13)14H18O8,9894786.0
C15H21O7N,2660749.8
C(13)15H22O7,6032273.0
C(13)16H26O6,1504927.8
C(13)17H30O3S,11330471.0
C16H8O8,2270452.8
C13H12O8S,2255606.0
C17H13O3SP,1343225.0
C13H13O8P,2027770.0
C13H12O10,19827966.0
C17H12O7,2594051.5
C14H16O7S,2884868.8
C14H17O7P,3772680.8
C14H16O9,60493068.0
C13H16O8N2,1885200.5
C18H16O6,3101458.0
C15H20O6S,1888019.5
C15H21O6P,5018903.5
C15H20O8,56306972.0
C19H20O5,1623328.9
C16H25O5P,2616614.3
C16H24O7,15369513.0
C(13)12H12O10,2380948.0
C(13)13H17O7P,3341471.5
C(13)13H16O9,7714467.0
C(13)14H21O6P,3638446.3
C(13)14H20O8,8433330.0
C(13)15H25O5P,1636029.1
C(13)15H24O7,2618560.3
C12H11O9P,1606430.6
C12H10O11,1922594.0
C16H10O8,3632680.0
C13H14O8S,2666537.5
C13H15O8P,3745837.5
C13H14O10,31461424.0
C17H14O7,4844599.0
C14H18O7S,2895928.5
C14H19O7P,9717820.0
C14H18O9,40890432.0
C25H14O,1489219.6
C18H18O6,4214854.0
C15H22O6S,2426439.3
C15H23O6P,7735371.0
C15H22O8,21618766.0
C16H27O5P,186159200.0
C(13)15H10O8,1461699.5
C(13)12H14O10,3649996.3
C16H13O7N,2681807.3
C(13)16H14O7,1339858.5
C(13)13H19O7P,2787800.0
C(13)13H18O9,6239707.5
C17H17O6N,1384158.3
C(13)14H23O6P,2287079.0
C(13)14H22O8,2710506.3
C(13)15H27O5P,25543158.0
C17H34O3NP,1627408.4
C15H8O9,1773398.1
C12H12O9S,1611607.5
C12H13O9P,2917723.5
C12H12O11,3831134.8
C16H12O8,8721253.0
C13H16O8S,3104614.5
C13H17O8P,7582570.5
C13H16O10,22586222.0
C24H12O2,2720113.8
C17H16O7,9773940.0
C14H20O7S,1619829.6
C14H21O7P,18367354.0
C14H20O9,14590845.0
C25H16O,1811329.0
C18H20O6,7326595.5
C15H24O6S,2207620.8
C15H25O6P,5456776.5
C15H24O8,5005196.0
C19H24O5,3943314.3
C15H11O8N,2220802.3
C(13)15H12O8,1781765.6
C(13)12H17O8P,1965835.0
C(13)12H16O10,3284750.3
C16H15O7N,2465553.3
C(13)16H16O7,1488148.6
C(13)13H21O7P,3460890.0
C(13)13H20O9,2504733.5
C17H19O6N,1711904.5
C(13)17H20O6,1581091.8
C(13)14H25O6P,1649449.1
C17H36O3NP,5455187.5
C11H11O10P,1479571.0
C15H10O9,8971933.0
C12H14O9S,2232990.3
C12H15O9P,5425826.5
C12H14O11,2903205.8
C23H10O3,2142633.8
C16H14O8,19392172.0
C13H18O8S,2733741.5
C15H14O7N2,2375345.0
C13H19O8P,12875442.0
C13H18O10,5955253.0
C16H20O2N2P2,5604025.0
C17H18O7,17008316.0
C14H22O7S,1958844.8
C14H23O7P,19551936.0
C14H22O9,3094212.3
C25H18O,1358024.4
C18H22O6,13426379.0
C15H27O6P,2945232.0
C19H26O5,4727514.0
C17H35O4P,2598126.5
C(13)14H10O9,1401410.1
C15H13O8N,4198478.0
C(13)15H14O8,3272273.5
C(13)12H19O8P,1960022.9
C16H17O7N,3781213.3
C(13)16H18O7,3136608.8
C(13)13H23O7P,3556454.3
C17H21O6N,1674604.8
C(13)17H22O6,2468976.0
C14H8O10,1773534.4
C11H13O10P,1425891.9
C15H12O7S,1844198.3
C22H8O4,2166251.5
C15H12O9,23976430.0
C12H16O9S,1940463.1
C12H17O9P,7273971.5
C23H12O3,5280251.0
C16H16O8,35518972.0
C13H20O8S,2110462.5
C15H16O7N2,3399170.0
C13H21O8P,13632003.0
C16H22O2N2P2,5974538.0
C17H20O7,29604364.0
C16H20O6N2,2102801.5
C14H25O7P,11221522.0
