Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
222.085259368199,11,14,4,0,1,0,0,0,CHO,Lignin,223.092535835079,0.125241847552845,1,1924166.5,Altamaha_SW48_000107-3_p08,5.0,1.0,0.14286,0.33333,0.36364,1.27273,0.0,0.0,0.0,0.0,-0.54545,75.84545,0.36364,211.0,0.02504,0.25963,1.42909,0.27795,0.0869,0.19085,0.16638816558868946,C(13)11H14O4,PUCs,Lignin-like,POCs
223.024826787666,10,8,6,0,0,0,0,0,CHO,Lignin,224.032103254546,-0.0681382093166171,1,4140166.0,Altamaha_SW48_000107-3_p08,7.0,1.0,0.25,0.57143,0.6,0.8,0.0,0.0,0.0,0.0,0.4,48.9,0.6,224.0,0.09789,0.20422,1.58797,0.22366,0.02091,0.13122,0.2206943994483257,C10H8O6,PPAs,Polyphenol-like,POCs
223.061186765323,11,12,5,0,0,0,0,0,CHO,Lignin,224.068463232203,0.0458051843858249,1,8128648.5,Altamaha_SW48_000107-3_p08,6.0,1.0,0.16667,0.41176,0.45455,1.09091,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.45455,224.0,0.05614,0.24603,1.5465,0.26547,0.06269,0.17302,0.1782968531766994,C11H12O5,PUCs,Lignin-like,POCs
223.097589742962,12,16,4,0,0,0,0,0,CHO,Lignin,224.104866209842,-0.0321628082184285,1,4850315.0,Altamaha_SW48_000107-3_p08,5.0,1.0,0.125,0.3,0.33333,1.33333,0.0,0.0,0.0,0.0,-0.66667,79.3,0.33333,224.0,0.01438,0.28784,1.50502,0.30729,0.10446,0.21482,0.14925650750796782,C12H16O4,PUCs,Lignin-like,Lipid
223.133979720618,13,20,3,0,0,0,0,0,CHO,Lipid,224.141256187498,-0.052106417919248,1,1431821.5,Altamaha_SW48_000107-3_p08,4.0,1.0,0.1,0.21739,0.23077,1.53846,0.0,0.0,0.0,0.0,-1.07692,90.99231,0.23077,224.0,0.02737,0.32965,1.46355,0.3491,0.14624,0.25661,0.12846474599230542,C13H20O3,UAAs,Lipid-like,Lipid
224.056430157258,10,11,5,1,0,0,0,0,CHON,Lignin,225.063706624138,0.0704007852390308,1,1952462.9,Altamaha_SW48_000107-3_p08,6.0,1.0,0.0,0.38462,0.5,1.1,0.1,0.0,inf,0.0,0.2,54.6,0.6,225.0,0.06824,0.23526,1.56518,0.25479,0.05111,0.16193,0.2133741035174546,C10H11O5N,PUCs,Lignin-like,Not Matched
225.004013584611,9,6,7,0,0,0,0,0,CHO,ConHC,226.011290051491,0.276516313688099,2,1371413.5,Altamaha_SW48_000107-3_p08,7.0,0.0,0.0,0.63636,0.77778,0.66667,0.0,0.0,0.0,0.0,0.88889,34.96667,0.77778,226.0,0.12629,0.17848,1.6295,0.19809,0.00645,0.10484,0.2744195220401647,C9H6O7,PPAs,Polyphenol-like,POCs
225.022779573332,10,10,4,0,0,1,0,0,CHOS,Lignin,226.030056040212,-0.338631125748948,1,1497110.9,Altamaha_SW48_000107-3_p08,6.0,2.0,0.2,0.42857,0.4,1.0,0.0,0.0,0.0,0.0,0.0,60.3,0.4,226.0,0.02361,0.2813,1.5275,0.30092,0.09629,0.20763,0.20130874466940799,C10H10O4S,PUCs,Lignin-like,POCs
225.040485562693,10,10,6,0,0,0,0,0,CHO,Lignin,226.047762029573,-0.106065959346713,1,8614168.0,Altamaha_SW48_000107-3_p08,6.0,0.0,0.0,0.42857,0.6,1.0,0.0,0.0,0.0,0.0,0.2,54.6,0.6,226.0,0.08454,0.22029,1.58802,0.2399,0.03533,0.14663,0.21148726902444087,C10H10O6,PUCs,Lignin-like,POCs
225.076865540839,11,14,5,0,0,0,0,0,CHO,Lignin,226.084142007719,-0.0815971362856544,1,11324699.0,Altamaha_SW48_000107-3_p08,5.0,0.0,0.0,0.29412,0.45455,1.27273,0.0,0.0,0.0,0.0,-0.36364,70.66364,0.45455,226.0,0.04279,0.2621,1.54655,0.28172,0.07711,0.18843,0.17203477074828494,C11H14O5,PUCs,Lignin-like,POCs
225.113216519011,12,18,4,0,0,0,0,0,CHO,Protein,226.120492985891,0.071113896005201,1,3819805.8,Altamaha_SW48_000107-3_p08,4.0,0.0,0.0,0.2,0.33333,1.5,0.0,0.0,0.0,0.0,-0.83333,84.05,0.33333,226.0,0.00103,0.30391,1.50507,0.32353,0.11888,0.23023,0.14498763681093932,C12H18O4,UAAs,Aliphatic-like,Lipid
226.043792963283,9,10,6,0,1,0,0,0,CHO,Lignin,227.051069430163,0.103330219786578,0,1232615.3,Altamaha_SW48_000107-3_p08,5.0,-1.0,0.0,0.33333,0.66667,1.11111,0.0,0.0,0.0,0.0,0.22222,53.96667,0.66667,215.0,0.08185,0.20814,1.51214,0.2268,0.03219,0.13807,0.2360801887859191,C(13)9H10O6,PUCs,Lignin-like,POCs
226.072108946465,10,13,5,1,0,0,0,0,CHON,Lignin,227.079385413345,-0.0567217726856765,1,2183017.5,Altamaha_SW48_000107-3_p08,5.0,0.0,0.0,0.23077,0.5,1.3,0.1,0.0,inf,0.0,0.0,60.3,0.6,227.0,0.05489,0.25133,1.56523,0.27103,0.06553,0.17734,0.20493017929394064,C10H13O5N,PUCs,Lignin-like,Not Matched
226.080206941657,10,14,5,0,1,0,0,0,CHO,Lignin,227.087483408537,-0.0220656663676831,0,1887850.1,Altamaha_SW48_000107-3_p08,4.0,-1.0,0.0,0.2,0.5,1.4,0.0,0.0,0.0,0.0,-0.4,71.7,0.5,215.0,0.04009,0.24995,1.47067,0.26862,0.07396,0.17987,0.1879624960337246,C(13)10H14O5,PUCs,Lignin-like,Lipid
