Molecular formula,Altamaha_SW48_000107-4_p08
C18H16O6,3210362.3
C15H20O6S,3065467.3
C15H20O8,59625600.0
C19H20O5,1940614.6
C16H24O5S,2026119.8
C16H24O7,15536270.0
C17H28O4S,4748436.0
C18H32O5,1742758.5
C13H15O9N,3762631.0
C17H15O6N,1389260.0
C14H19O8N,4074963.3
C12H10O9S,1506051.1
C12H10O11,1391881.1
C16H10O8,5021454.5
C13H14O8S,2833679.5
C13H14O10,30995222.0
C17H14O7,6771482.5
C14H18O7S,3568411.8
C14H18O9,44757792.0
C18H18O6,5756711.0
C15H22O6S,2553640.3
C15H22O8,22872878.0
C19H22O5,3630899.5
C18H34O5,2077523.5
C16H13O7N,2333293.8
C13H17O9N,3292789.0
C17H17O6N,1651578.3
C14H21O8N,2114689.5
C15H25O7N,24663182.0
C15H8O9,3001265.3
C12H12O9S,1649586.4
C12H12O11,4100536.5
C16H12O8,11361726.0
C13H16O8S,2603454.8
C13H16O10,22107588.0
C17H16O7,12058058.0
C14H20O7S,3094475.3
C14H20O9,14759377.0
C18H20O6,8056278.5
C15H24O6S,2310103.8
C15H24O8,5138910.0
C19H24O5,4269539.0
C15H11O8N,2474770.0
C12H15O10N,1658137.4
C16H15O7N,3188510.5
C13H19O9N,3621157.8
C17H19O6N,1937195.0
C14H23O8N,1641266.3
C15H10O9,9754723.0
C12H14O9S,2530916.5
C12H14O11,2824810.5
C16H14O8,22591600.0
C13H18O8S,3114609.0
C15H14O7N2,1837171.8
C13H18O10,6700151.0
C17H18O7,18798716.0
C14H22O7S,2837117.5
C14H22O9,2668163.5
C18H22O6,14698633.0
C15H26O6S,1449098.0
C19H26O5,5596309.5
C14H9O9N,1682361.1
C15H13O8N,3999173.8
C12H17O10N,1991117.0
C16H17O7N,4135378.3
C13H21O9N,3376089.5
C17H21O6N,1757150.8
C14H8O10,2274060.0
C15H12O7S,1423122.4
C15H12O9,28121880.0
C12H16O9S,2555161.8
C16H16O8,38026020.0
C13H20O8S,2567974.3
C15H16O7N2,4084009.0
C17H20O7,32693042.0
C18H24O6,18922302.0
C19H28O5,3933002.8
C14H11O9N,3037808.0
C15H15O8N,6342780.5
C12H19O10N,2320515.8
C16H19O7N,3844233.0
C13H23O9N,2224784.5
C17H23O6N,1662101.6
C14H10O10,12912068.0
C15H14O7S,2402762.8
C15H14O9,50888144.0
C14H14O8N2,2950100.8
C16H18O8,61513180.0
C15H18O7N2,3842529.3
C17H22O7,46497260.0
C18H26O6,14104055.0
C19H30O5,2708995.3
C16H34O5S,5919236.5
C14H13O9N,5677866.0
C15H17O8N,7896886.5
C16H21O7N,3497795.3
C14H12O8S,3188346.0
C14H12O10,33022080.0
C18H12O7,2379909.5
C15H16O7S,3013254.5
C15H16O9,78110864.0
C14H16O8N2,3087504.8
C19H16O6,2038418.1
C16H20O8,86663320.0
C15H20O7N2,2628253.3
C17H24O5S,2593952.0
C17H24O7,35455144.0
C18H28O4S,2500268.5
C18H28O6,6350003.0
C19H32O3S,27021498.0
C13H11O10N,1808859.0
C14H15O9N,7365095.5
C15H19O8N,6899188.5
C16H23O7N,2020353.1
C13H10O9S,1540140.6
C13H10O11,4816691.0
C17H10O8,3892024.3
C14H14O8S,4300601.5
C14H14O10,61137728.0
C18H14O7,5500741.0
C15H18O7S,4705094.0
C15H18O9,94298960.0
C14H18O8N2,2408272.3
C19H18O6,3659601.5
C16H22O6S,2397522.8
C16H22O8,59695960.0
C20H22O5,2315102.5
C17H26O5S,1843039.5
C17H26O7,13134694.0
C18H30O4S,4208492.5
C18H30O6,2877298.5
C16H9O8N,1618068.8
C13H13O10N,3172508.3
C17H13O7N,2292385.5
C14H17O9N,6318249.0
C15H21O8N,3812533.8
C16H25O7N,1417410.4
C16H8O9,2879470.3
C13H12O9S,2906095.5
C13H12O11,13721078.0
C21H12O3S,1650682.3
C17H12O8,8273403.0
C14H16O8S,3477500.3
C14H16O10,67282432.0
C18H16O7,8392200.0
C15H20O7S,5019145.0
C15H20O9,55846416.0
C19H20O6,6521364.5
C16H24O6S,1847317.8
C16H24O8,19568156.0
C20H24O5,2969633.5
C17H28O5S,2762786.5
C17H28O7,3973672.8
C18H32O6,1835829.6
C16H11O8N,2350425.3
C13H15O10N,2447200.8
C17H15O7N,1880678.0
C14H19O9N,4393837.5
C15H23O8N,2281338.3
C16H10O9,7256244.5
C13H14O9S,3402421.5
C13H14O11,16251068.0
C17H14O8,14072001.0
C14H18O8S,3159234.3
C14H18O10,33884360.0
C18H18O7,12671182.0
C15H22O7S,4784335.0
C15H22O9,14715093.0
C19H22O6,9926875.0
C16H26O8,4167906.3
C20H26O5,4019431.5
C15H9O9N,1547540.0
C16H13O8N,2891296.8
C13H17O10N,3459112.3
C17H17O7N,2453037.8
C14H21O9N,3583029.3
C15H25O8N,1613378.0
C15H8O10,2175344.3
C12H12O10S,1536113.4
C16H12O9,18529150.0
C13H16O9S,3107710.5
C13H16O11,7920516.5
C17H16O8,21855114.0
C14H20O8S,3611531.3
C16H16O7N2,3180942.0
C14H20O10,7109521.5
C18H20O7,20720534.0
C15H24O7S,3772312.3
C17H20O6N2,1517850.9
C15H24O9,2928030.5
C19H24O6,13724580.0
C20H28O5,4250545.0
C15H11O9N,3094750.3
C16H15O8N,4822251.0
C15H15O7N3,1525231.1
C13H19O10N,3823858.5
C17H19O7N,2646776.0
C14H23O9N,1912575.5
C15H10O10,10495548.0
C16H14O9,29847112.0
C13H18O9S,2056778.0
C13H18O11,1492048.3
C17H18O8,32919126.0
C14H22O8S,2262615.0
C16H18O7N2,3136089.8
C18H22O7,29052514.0
C15H26O7S,1896035.9
C19H26O6,14982768.0
C20H30O5,2453628.5
C15H13O9N,4498347.0
C12H17O11N,1580466.5
C16H17O8N,4971448.0
C13H21O10N,3495359.5
C17H21O7N,2751941.0
C15H12O8S,2187523.5
C15H12O10,26972426.0
C16H16O9,47599896.0
C15H16O8N2,3622682.8
C17H20O8,55161124.0
C16H20O7N2,2631975.8
C18H24O7,34664752.0
C19H28O6,8456510.0
C17H36O5S,4385100.0
C14H11O10N,1918061.3
C15H15O9N,5791354.0
C16H19O8N,5555847.0
C17H23O7N,2848404.3
C14H10O11,6802381.0
C18H10O8,2065362.5
C15H14O8S,3095507.8
C15H14O10,48911324.0
C19H14O7,2589151.5
C16H18O9,73446376.0
C15H18O8N2,3684331.3
C17H22O8,64549876.0
C18H26O7,22852610.0
C19H30O6,3846158.3
C16H34O6S,7773199.5
C14H13O10N,4150590.5
C15H17O9N,7423307.5
C16H21O8N,5191000.5
C17H25O7N,2042213.5
C17H8O9,2230935.5
C14H12O9S,2778776.8
C14H12O11,18196128.0
C22H12O3S,2982051.8
C18H12O8,4870820.5
C15H16O8S,3737253.8
