molecular formula,Altamaha_SW48_000107-3_p08
C18H28O5,3433985.3
C13H11O9N,2112301.0
C14H15O8N,5817146.0
C15H19O7N,3785542.8
C13H10O10,6569098.5
C17H10O7,1676432.0
C14H14O7S,2338449.3
C14H14O9,38028440.0
C13H14O8N2,1784987.5
C18H14O6,1639069.0
C15H18O6S,2325150.3
C15H18O8,63931556.0
C14H18O7N2,2170024.5
C16H22O5S,2853035.0
C16H22O7,36119728.0
C17H26O4S,1636024.1
C17H26O6,7550142.5
C18H30O3S,138675392.0
C13H13O9N,3225596.0
C14H17O8N,5100041.0
C15H21O7N,2029590.1
C16H8O8,1353559.6
C13H12O8S,2513752.8
C13H12O10,14911327.0
C17H12O7,2933604.8
C14H16O7S,3343718.0
C14H16O9,48146284.0
C18H16O6,3162482.0
C15H20O6S,2725747.3
C15H20O8,47925112.0
C19H20O5,2461567.3
C16H24O5S,1820800.4
C16H24O7,14276487.0
C17H28O4S,2796429.8
C18H32O5,1564577.3
C19H36O4,1559470.5
C13H15O9N,3321558.8
C14H19O8N,3462372.3
C16H10O8,4161080.3
C13H14O8S,2718777.5
C13H14O10,23460416.0
C17H14O7,6474310.0
C14H18O7S,3267143.0
C14H18O9,35195468.0
C13H18O8N2,1472081.8
C18H18O6,4527699.0
C15H22O6S,2640468.5
C15H22O8,19647066.0
C19H22O5,3517024.5
C18H34O5,2206851.3
C16H13O7N,1824694.3
C13H17O9N,3230654.3
C17H17O6N,1609667.9
C14H21O8N,1881035.8
C15H25O7N,28511194.0
C15H8O9,1651224.3
C12H12O11,2845472.3
C16H12O8,8617254.0
C13H16O8S,2986791.3
C13H16O10,16244014.0
C17H16O7,10310964.0
C14H20O7S,2351924.8
C14H20O9,12420411.0
C18H20O6,8951105.0
C15H24O6S,2046274.4
C15H24O8,5201225.0
C19H24O5,4358479.0
C16H28O7,1625942.8
C15H11O8N,2163868.8
C16H15O7N,2231978.8
C13H19O9N,3959474.8
C17H19O6N,1710776.4
C14H23O8N,1461184.4
C15H10O9,6975507.0
C12H14O11,2057755.0
C16H14O8,17543200.0
C13H18O8S,2682402.0
C15H14O7N2,1736229.1
C13H18O10,5043241.0
C17H18O7,18178094.0
C14H22O7S,1782832.0
C14H22O9,3138614.8
C18H22O6,13627453.0
C19H26O5,5428298.5
C16H34O5N2,2552932.8
C15H13O8N,3967390.5
C12H17O10N,2591142.8
C16H17O7N,3465644.8
C13H21O9N,3743156.8
C17H21O6N,2243514.8
C14H8O10,1775373.4
C15H12O9,20681500.0
C12H16O11,1457187.9
C16H16O8,29971242.0
C13H20O8S,2426155.0
C15H16O7N2,3617070.3
C17H20O7,31134520.0
C16H20O6N2,1605948.3
C18H24O6,18305862.0
C19H28O5,4117332.3
C14H11O9N,2440352.5
C15H15O8N,5158062.5
C12H19O10N,1911991.1
C16H19O7N,3730621.0
C13H23O9N,1879749.4
C17H23O6N,1476811.3
C14H10O10,8646181.0
C15H14O7S,1734699.9
C15H14O9,37566004.0
C14H14O8N2,2741303.3
C12H18O11,2862139.3
C16H18O8,53892672.0
C15H18O7N2,4042309.8
C17H22O7,42931792.0
C18H26O6,13665886.0
C19H30O5,1864812.6
C16H34O5S,6173294.0
C14H13O7NS,1579704.1
C14H13O9N,4128703.3
C15H17O8N,6055886.0
C16H21O7N,3429340.5
C14H12O8S,2431299.8
C14H12O10,22649162.0
C18H12O7,2757969.0
C15H16O7S,2467154.5
C15H16O9,61151576.0
C14H16O8N2,3002206.3
C16H20O8,69917032.0
C15H20O7N2,1990764.8
C17H24O5S,1949039.8
C17H24O7,31914360.0
C18H28O4S,1522046.5
C18H28O6,5488005.5
C19H32O3S,41171340.0
C13H11O10N,1417950.8
C17H11O7N,1748965.0
C14H15O9N,6255341.5
C15H19O8N,6105852.5
C16H23O7N,2008843.3
C13H10O11,3171953.8
C17H10O8,3821688.0
C14H14O8S,3257465.3
C14H14O10,43859072.0
C18H14O7,4159623.0
C15H18O7S,3786888.3
C15H18O9,74751120.0
C19H18O6,4219030.0
C16H22O6S,2301591.3
C16H22O8,51846304.0
C20H22O5,1815204.9
C17H26O5S,1639590.4
C17H26O7,12876974.0
C18H30O4S,2605749.3
C18H30O6,2705084.5
C13H13O10N,2184988.0
C17H13O7N,1840162.1
C14H17O9N,5811755.0
C15H21O8N,4189754.0
C16H25O7N,1618249.1
C16H8O9,1523116.9
C13H12O9S,2586030.3
C13H12O11,8964022.0
C17H12O8,6686652.0
C14H16O8S,3709885.5
C14H16O10,48709572.0
C18H16O7,7800779.0
C15H20O7S,4688844.5
C15H20O9,43417556.0
C19H20O6,6427610.5
C16H24O6S,1584603.8
C16H24O8,18161636.0
C20H24O5,2873833.8
C17H28O7,3239922.5
C18H32O6,2184193.8
C16H11O8N,2164573.8
C13H15O10N,2436966.5
