Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensities,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
513.197755359435,24,34,12,0,0,0,0,0,CHO,Lignin,514.205031826315,-0.0102482761982004,-1,5134695.0,Altamaha_SW48_000107-4_p08,8.0,-4.0,0.0,0.11111,0.5,1.41667,0.0,0.0,0.0,0.0,-0.41667,72.175,0.5,514.0,0.09088,0.60254,3.51098,0.64716,0.1818,0.43499,0.07807646139616059,C24H34O12,PUCs,Lignin-like,Lipid
513.213011493573,28,34,9,0,0,0,0,0,CHO,Lignin,514.220287960453,-0.0102488228858394,-1,3154282.3,Altamaha_SW48_000107-4_p08,12.0,3.0,0.15789,0.31915,0.32143,1.21429,0.0,0.0,0.0,0.0,-0.57143,76.58571,0.32143,514.0,0.04952,0.64395,3.4699,0.68857,0.22318,0.47639,0.06506170995743102,C28H34O9,PUCs,Lignin-like,POCs
513.226226551049,25,39,9,0,0,0,1,0,CHOP,Protein,514.233503017929,-0.648843623073357,-1,3907949.0,Altamaha_SW48_000107-4_p08,7.0,-2.0,0.0,0.07692,0.36,1.56,0.0,0.04,0.0,inf,-1.04,89.94,0.36,514.0,0.06551,0.62795,3.48577,0.67257,0.20719,0.46039,0.06683479483651633,C25H39O9P,UAAs,Aliphatic-like,Lipid
513.234140866778,25,38,11,0,0,0,0,0,CHO,Protein,514.241417333658,-0.0102495779062636,-1,2001262.6,Altamaha_SW48_000107-4_p08,7.0,-4.0,0.0,0.07692,0.44,1.52,0.0,0.0,0.0,0.0,-0.64,78.54,0.44,514.0,0.04912,0.64435,3.4695,0.68897,0.22358,0.47679,0.07198222319611272,C25H38O11,UAAs,Aliphatic-like,Lipid
513.249397000914,29,38,8,0,0,0,0,0,CHO,Lignin,514.256673467794,-0.0102501220848331,-1,1641329.8,Altamaha_SW48_000107-4_p08,11.0,3.0,0.14286,0.28,0.27586,1.31034,0.0,0.0,0.0,0.0,-0.75862,81.92069,0.27586,515.0,1.00777,0.31424,4.42842,0.26961,0.73504,0.48181,0.060774074308511006,C29H38O8,PUCs,Lignin-like,POCs
514.091952616113,20,22,15,0,1,0,0,0,CHO,Tannin,515.099229082993,-0.0081683159486031,-1,2338846.3,Altamaha_SW48_000107-4_p08,10.0,-5.0,0.0,0.2,0.75,1.1,0.0,0.0,0.0,0.0,0.4,48.9,0.75,503.0,0.21344,0.46497,3.55952,0.50862,0.05334,0.30105,0.11034719972416282,C(13)20H22O15,PUCs,Tannin-like,POCs
514.099103357722,24,21,12,1,0,0,0,0,CHON,Lignin,515.106379824602,-0.0090856993699295,-1,1932831.8,Altamaha_SW48_000107-4_p08,15.0,3.0,0.18182,0.47059,0.5,0.875,0.04167,0.0,inf,0.0,0.25,53.175,0.54167,515.0,0.18689,0.50775,3.613,0.55245,0.08627,0.33991,0.08938124444985576,C24H21O12N,PUCs,Lignin-like,Not Matched
514.107500054308,24,22,12,0,1,0,0,0,CHO,Lignin,515.114776521188,-0.573681829870125,-1,1892641.4,Altamaha_SW48_000107-4_p08,14.0,2.0,0.16667,0.44444,0.5,0.91667,0.0,0.0,0.0,0.0,0.08333,57.925,0.5,503.0,0.17209,0.50638,3.51844,0.55003,0.09471,0.34244,0.08602616000004737,C(13)24H22O12,PUCs,Lignin-like,POCs
514.120194595591,21,27,12,0,1,0,1,0,CHOP,Lignin,515.127471062471,-0.2006935693097,-1,2213412.0,Altamaha_SW48_000107-4_p08,9.0,-3.0,0.0,0.14286,0.57143,1.28571,0.0,0.04762,0.0,inf,-0.38095,71.15714,0.57143,503.0,0.18807,0.49037,3.53432,0.53403,0.07872,0.32644,0.08915346469305939,C(13)21H27O12P,PUCs,Lignin-like,POCs
514.128182306955,21,26,14,0,1,0,0,0,CHO,Lignin,515.135458773835,0.294306987218011,-1,2762277.8,Altamaha_SW48_000107-4_p08,9.0,-5.0,0.0,0.14286,0.66667,1.2381,0.0,0.0,0.0,0.0,0.09524,57.58571,0.66667,503.0,0.17169,0.50678,3.51805,0.55043,0.09511,0.34284,0.09855453437498737,C(13)21H26O14,PUCs,Lignin-like,POCs
514.135412045708,25,25,11,1,0,0,0,0,CHON,Lignin,515.142688512588,0.140035398432248,-1,2006567.0,Altamaha_SW48_000107-4_p08,14.0,3.0,0.15385,0.40541,0.44,1.0,0.04,0.0,inf,0.0,0.0,60.3,0.48,515.0,0.14513,0.54956,3.57153,0.59426,0.12805,0.38171,0.08148371481071881,C25H25O11N,PUCs,Lignin-like,Not Matched
514.143974736296,25,26,11,0,1,0,0,0,CHO,Lignin,515.151251203176,-0.746747046994556,-1,1818664.9,Altamaha_SW48_000107-4_p08,13.0,2.0,0.14286,0.38462,0.44,1.04,0.0,0.0,0.0,0.0,-0.16,64.86,0.44,503.0,0.13034,0.54819,3.47697,0.59185,0.13649,0.38424,0.07868605369546465,C(13)25H26O11,PUCs,Lignin-like,POCs
514.156542282167,22,31,11,0,1,0,1,0,CHOP,Lignin,515.163818749047,-0.12726640412272,-1,2509867.3,Altamaha_SW48_000107-4_p08,8.0,-3.0,0.0,0.09677,0.5,1.40909,0.0,0.04545,0.0,inf,-0.63636,78.43636,0.5,503.0,0.14632,0.53218,3.49284,0.57584,0.1205,0.36824,0.08129436635265459,C(13)22H31O11P,PUCs,Lignin-like,Lipid
514.164800983738,22,30,13,0,1,0,0,0,CHO,Lignin,515.172077450618,-0.158320921556441,-1,2554925.0,Altamaha_SW48_000107-4_p08,8.0,-5.0,0.0,0.09677,0.59091,1.36364,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.59091,503.0,0.12994,0.54859,3.47657,0.59225,0.13689,0.38464,0.08914842658834973,C(13)22H30O13,PUCs,Lignin-like,Lipid
